Region1,Region2,t_statistic,p_value,cohens_d,abs_cohens_d,cvib,comparison
50,55,3.7368598842577114,0.028685356817272196,0.8289243578910828,0.8289243578910828,0,NC vs AD
36,56,3.690822221225233,0.03101007500500406,0.8277286887168884,0.8277286887168884,0,NC vs AD
17,27,3.725227008802609,0.028685356817272196,0.8219462037086487,0.8219462037086487,0,NC vs AD
31,46,-3.5874415290388617,0.0347518956692754,-0.8187925219535828,0.8187925219535828,0,NC vs AD
28,56,3.7051115157123484,0.029687119619835917,0.8182100653648376,0.8182100653648376,0,NC vs AD
2,66,-3.7399800128137244,0.028685356817272196,-0.814447283744812,0.814447283744812,0,NC vs AD
29,36,-3.6424684521605557,0.032248239801237914,-0.801582932472229,0.801582932472229,0,NC vs AD
27,60,-3.6221293723238728,0.03246261400448676,-0.8000264763832092,0.8000264763832092,0,NC vs AD
40,54,-5.10901873024825,0.0037763271511942658,-1.1262736320495605,1.1262736320495605,0,NC vs MCI
39,55,-5.003162962260248,0.0037763271511942658,-1.1029653549194336,1.1029653549194336,0,NC vs MCI
22,42,-4.901316319372727,0.004343005861627682,-1.101148247718811,1.101148247718811,0,NC vs MCI
28,36,-4.711034811031405,0.00489667268735953,-1.047485113143921,1.047485113143921,0,NC vs MCI
36,56,4.741466947452986,0.00489667268735953,1.0471755266189575,1.0471755266189575,0,NC vs MCI
4,57,4.531610899086725,0.008047814769816364,1.0366289615631104,1.0366289615631104,0,NC vs MCI
4,34,-4.565701254606773,0.0065875038826353335,-1.0131828784942627,1.0131828784942627,0,NC vs MCI
3,41,-4.533171439508549,0.0065875038826353335,-0.9875348210334778,0.9875348210334778,0,NC vs MCI
12,35,-4.279678931859697,0.012190265375105805,-0.9600435495376587,0.9600435495376587,0,NC vs MCI
8,18,-4.354418066972405,0.009933189350708601,-0.9505026340484619,0.9505026340484619,0,NC vs MCI
28,64,4.230259694113524,0.012190265375105805,0.9476422071456909,0.9476422071456909,0,NC vs MCI
33,34,4.043318838733983,0.01760943361139125,0.9316641092300415,0.9316641092300415,0,NC vs MCI
25,41,-4.197460616257686,0.012190265375105805,-0.9208089709281921,0.9208089709281921,0,NC vs MCI
29,33,4.176586233569968,0.012258880681330638,0.920689046382904,0.920689046382904,0,NC vs MCI
1,12,-4.1998761715983965,0.012190265375105805,-0.9125897288322449,0.9125897288322449,0,NC vs MCI
30,40,-4.098776152730151,0.01430724741913932,-0.9021074771881104,0.9021074771881104,0,NC vs MCI
26,35,-4.081563191351229,0.01430724741913932,-0.8974653482437134,0.8974653482437134,0,NC vs MCI
26,62,3.970813661075379,0.01760943361139125,0.8940300345420837,0.8940300345420837,0,NC vs MCI
23,52,4.075137452367336,0.01430724741913932,0.888692319393158,0.888692319393158,0,NC vs MCI
27,36,4.062497759799683,0.01430724741913932,0.8852681517601013,0.8852681517601013,0,NC vs MCI
3,46,3.933593023755736,0.01760943361139125,0.8827864527702332,0.8827864527702332,0,NC vs MCI
4,49,-4.0365624725549205,0.014834600178903838,-0.880653440952301,0.880653440952301,0,NC vs MCI
35,59,-3.921727404047598,0.01760943361139125,-0.8759627938270569,0.8759627938270569,0,NC vs MCI
21,34,4.016305039599083,0.015142962149017463,0.8759468197822571,0.8759468197822571,0,NC vs MCI
2,57,3.912905633344553,0.01760943361139125,0.8662781119346619,0.8662781119346619,0,NC vs MCI
10,65,-3.883911905757588,0.017834867847043103,-0.855692446231842,0.855692446231842,0,NC vs MCI
2,4,3.8592215273480837,0.018486692885007743,0.8551746606826782,0.8551746606826782,0,NC vs MCI
4,10,-3.840895972605477,0.018486692885007743,-0.8551367521286011,0.8551367521286011,0,NC vs MCI
2,19,-3.8379818819927287,0.018486692885007743,-0.851525604724884,0.851525604724884,0,NC vs MCI
2,54,3.7309730195212305,0.023634128661857184,0.8424897193908691,0.8424897193908691,0,NC vs MCI
34,62,3.7245281956532907,0.023634128661857184,0.8424577116966248,0.8424577116966248,0,NC vs MCI
4,28,-3.768833065811778,0.02222345012915486,-0.8387517333030701,0.8387517333030701,0,NC vs MCI
34,42,-3.832741716867127,0.018486692885007743,-0.8365485668182373,0.8365485668182373,0,NC vs MCI
18,54,-3.918773070967181,0.017834867847043103,-0.8360580801963806,0.8360580801963806,0,NC vs MCI
37,45,-3.7181103922065013,0.023634128661857184,-0.8212411403656006,0.8212411403656006,0,NC vs MCI
4,7,-3.7625967213546385,0.02222345012915486,-0.8168434500694275,0.8168434500694275,0,NC vs MCI
53,58,3.7455094114767014,0.022705039077147958,0.8166926503181458,0.8166926503181458,0,NC vs MCI
18,28,3.611679858085865,0.02897142159384832,0.8144029378890991,0.8144029378890991,0,NC vs MCI
33,35,3.6642213860739523,0.02457087324484426,0.8140379786491394,0.8140379786491394,0,NC vs MCI
32,33,3.675257008138514,0.024045470225370527,0.8133731484413147,0.8133731484413147,0,NC vs MCI
2,24,3.7365304372343355,0.023634128661857184,0.8020381927490234,0.8020381927490234,0,NC vs MCI
4,57,5.325608342578503,0.0021005673251535077,1.1714692115783691,1.1714692115783691,0,NC vs SCD
56,57,4.8986104795236285,0.006092775849709903,1.0960348844528198,1.0960348844528198,0,NC vs SCD
0,12,4.668189603820879,0.009782124917920998,1.044333577156067,1.044333577156067,0,NC vs SCD
36,56,4.232465656706686,0.03263265179654523,0.9444683194160461,0.9444683194160461,0,NC vs SCD
55,60,-4.203290603323566,0.03263265179654523,-0.9414380192756653,0.9414380192756653,0,NC vs SCD
4,27,4.060445433144981,0.04383499476648015,0.9001269340515137,0.9001269340515137,0,NC vs SCD
